Website,Username,Status,Link
GitHub,fuck,Available,https://github.com/fuck
Twitter,fuck,Available,https://x.com/fuck
Instagram,fuck,Unavailable,https://www.instagram.com/fuck/
Facebook,fuck,Login Required (Likely Unavailable),https://www.facebook.com/fuck
LinkedIn,fuck,Unknown Status,https://www.linkedin.com/in/fuck
TikTok,fuck,Available,https://www.tiktok.com/@fuck
Pinterest,fuck,Unavailable,https://www.pinterest.com/fuck/
Snapchat,fuck,Unavailable,https://www.snapchat.com/add/fuck
Threads,fuck,Likely Available,https://www.threads.net/@fuck
Telegram,fuck,Unavailable,https://t.me/fuck
